n_mfcc,round,center_0_x,center_0_y,center_1_x,center_1_y,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
3,8,-54.337563,10.058822,-105.56296,7.905118,474,526,290,9,0.7698229407236336,0.6204188481675392,0.9813664596273292,0.6446078431372549,0.7602245388933441
3,9,-54.240738,10.040974,-106.218994,7.9822793,477,530,286,6,0.775211701308699,0.6251638269986893,0.9875776397515528,0.6495098039215687,0.7656500802568218
4,0,-53.875565,10.175077,-106.84147,7.886941,471,527,289,12,0.7682832948421863,0.6197368421052631,0.9751552795031055,0.6458333333333334,0.7578439259855189
4,1,-54.509888,10.168044,-106.73045,8.046229,474,520,296,9,0.7652040030792918,0.6155844155844156,0.9813664596273292,0.6372549019607843,0.75658419792498
4,2,-53.674408,10.229947,-106.39047,7.758466,474,533,282,9,0.775808936825886,0.626984126984127,0.9813664596273292,0.6539877300613497,0.7651331719128329
4,3,-53.91839,10.066567,-107.27875,7.9064445,475,537,279,7,0.7796610169491526,0.629973474801061,0.9854771784232366,0.6580882352941176,0.7686084142394822
4,4,-55.199852,10.281571,-106.94114,7.64299,479,519,297,4,0.7682832948421863,0.6172680412371134,0.9917184265010351,0.6360294117647058,0.7609213661636219
4,5,-54.87286,9.942239,-106.67614,8.011596,477,520,296,6,0.7675134719014627,0.6170763260025873,0.9875776397515528,0.6372549019607843,0.7595541401273885
4,6,-53.970104,10.092944,-106.72031,8.02399,476,526,290,6,0.7719568567026194,0.6214099216710183,0.9875518672199171,0.6446078431372549,0.7628205128205129
4,7,-54.646477,10.017563,-106.2619,7.9363284,476,521,295,7,0.7675134719014627,0.6173800259403373,0.9855072463768116,0.6384803921568627,0.759170653907496
4,8,-54.943516,10.069279,-107.62538,7.98636,473,508,307,10,0.7557781201848999,0.6064102564102564,0.979296066252588,0.6233128834355828,0.7490102929532858
4,9,-54.419075,10.0819645,-107.09282,7.7095747,479,523,293,4,0.7713625866050808,0.6204663212435233,0.9917184265010351,0.6409313725490197,0.7633466135458168
5,0,-55.34314,10.113748,-107.42828,7.7626863,474,505,311,9,0.7536566589684373,0.6038216560509554,0.9813664596273292,0.6188725490196079,0.7476340694006308
5,1,-54.240707,10.169068,-106.859634,7.961974,474,526,290,9,0.7698229407236336,0.6204188481675392,0.9813664596273292,0.6446078431372549,0.7602245388933441
5,2,-53.90971,10.13516,-106.38583,8.152156,477,531,285,6,0.7759815242494227,0.6259842519685039,0.9875776397515528,0.6507352941176471,0.7662650602409639
5,3,-55.236362,10.198783,-107.15276,8.053096,478,507,309,5,0.7582755966127791,0.6073697585768743,0.989648033126294,0.6213235294117647,0.752755905511811
5,4,-53.984547,10.174233,-106.76025,7.650604,473,505,311,10,0.7528868360277137,0.6033163265306123,0.979296066252588,0.6188725490196079,0.7466456195737964
5,5,-54.448856,10.013077,-106.32458,7.5798063,474,522,294,9,0.766743648960739,0.6171875,0.9813664596273292,0.6397058823529411,0.7577937649880097
5,6,-55.428738,10.11227,-107.18144,7.761722,475,499,317,8,0.7498075442648191,0.5997474747474747,0.9834368530020704,0.6115196078431373,0.7450980392156863
5,7,-53.304745,10.264189,-105.52171,7.94583,473,542,274,9,0.7819722650231125,0.6331994645247657,0.9813278008298755,0.6642156862745098,0.7697314890154597
5,8,-53.21481,10.268761,-106.19145,7.910496,473,545,271,10,0.783679753656659,0.635752688172043,0.979296066252588,0.6678921568627451,0.7709861450692747
