n_mfcc,round,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
7,7,10,290,526,473,0.23094688221709006,0.018656716417910446,0.020703933747412008,0.3553921568627451,0.01962708537782139
7,8,13,217,599,469,0.17719568567026195,0.021241830065359478,0.026970954356846474,0.2659313725490196,0.02376599634369287
7,9,9,303,513,474,0.24018475750577367,0.017241379310344827,0.018633540372670808,0.3713235294117647,0.017910447761194027
8,1,473,540,276,10,0.7798306389530408,0.6315086782376502,0.979296066252588,0.6617647058823529,0.7678571428571429
8,2,474,518,298,9,0.7636643571978445,0.6139896373056994,0.9813664596273292,0.6348039215686274,0.7553784860557768
8,3,472,557,259,11,0.792147806004619,0.6456908344733242,0.9772256728778468,0.6825980392156863,0.7775947281713345
8,4,6,303,513,477,0.23787528868360278,0.011560693641618497,0.012422360248447204,0.3713235294117647,0.011976047904191617
8,5,11,281,534,471,0.2251349267540478,0.02018348623853211,0.022821576763485476,0.34478527607361964,0.021421616358325218
8,6,481,553,262,2,0.7966101694915254,0.6473755047106325,0.9958592132505176,0.6785276073619632,0.7846655791190864
8,7,10,277,539,473,0.22093918398768284,0.018214936247723135,0.020703933747412008,0.3394607843137255,0.01937984496124031
8,8,472,519,296,11,0.763482280431433,0.6145833333333334,0.9772256728778468,0.6368098159509202,0.7545963229416468
8,9,7,289,526,476,0.2280431432973806,0.013133208255159476,0.014492753623188406,0.35460122699386504,0.013779527559055118
9,1,477,520,296,6,0.7675134719014627,0.6170763260025873,0.9875776397515528,0.6372549019607843,0.7595541401273885
9,2,5,283,532,478,0.2218798151001541,0.00931098696461825,0.010351966873706004,0.347239263803681,0.009803921568627453
9,3,473,553,263,10,0.789838337182448,0.6426630434782609,0.979296066252588,0.6776960784313726,0.7760459392945037
9,4,21,215,601,461,0.18181818181818182,0.03376205787781351,0.043568464730290454,0.26348039215686275,0.03804347826086956
9,5,6,287,529,477,0.22555812163202463,0.011214953271028037,0.012422360248447204,0.35171568627450983,0.011787819253438114
9,6,10,318,498,473,0.2525019245573518,0.01968503937007874,0.020703933747412008,0.3897058823529412,0.020181634712411706
9,7,5,292,524,478,0.22863741339491916,0.00945179584120983,0.010351966873706004,0.35784313725490197,0.009881422924901186
