n_mfcc,round,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
9,2,454,773,43,28,0.9453004622496148,0.9134808853118712,0.941908713692946,0.9473039215686274,0.9274770173646578
9,3,451,769,47,31,0.9399075500770416,0.9056224899598394,0.9356846473029046,0.9424019607843137,0.9204081632653062
9,4,342,693,123,140,0.7973805855161787,0.7354838709677419,0.7095435684647303,0.8492647058823529,0.7222808870116156
9,5,457,756,60,25,0.9345146379044684,0.8839458413926499,0.9481327800829875,0.9264705882352942,0.914914914914915
9,6,364,708,108,118,0.8258859784283513,0.7711864406779662,0.7551867219917012,0.8676470588235294,0.7631027253668763
9,7,448,770,46,34,0.938366718027735,0.9068825910931174,0.9294605809128631,0.9436274509803921,0.918032786885246
9,8,459,771,45,23,0.9476117103235747,0.9107142857142857,0.9522821576763485,0.9448529411764706,0.9310344827586206
9,9,367,701,115,115,0.8228043143297381,0.7614107883817427,0.7614107883817427,0.8590686274509803,0.7614107883817427
10,0,381,724,92,101,0.8513097072419107,0.8054968287526427,0.7904564315352697,0.8872549019607843,0.7979057591623038
10,1,435,770,46,47,0.9283513097072419,0.9043659043659044,0.9024896265560166,0.9436274509803921,0.9034267912772586
10,2,390,723,93,92,0.8574730354391371,0.8074534161490683,0.8091286307053942,0.8860294117647058,0.8082901554404145
10,3,454,760,56,28,0.9352850539291218,0.8901960784313725,0.941908713692946,0.9313725490196079,0.9153225806451613
10,4,400,726,90,82,0.8674884437596302,0.8163265306122449,0.8298755186721992,0.8897058823529411,0.8230452674897119
10,5,459,759,57,23,0.938366718027735,0.8895348837209303,0.9522821576763485,0.9301470588235294,0.9198396793587174
10,6,417,720,96,65,0.8759630200308166,0.8128654970760234,0.8651452282157677,0.8823529411764706,0.8381909547738694
10,7,459,762,54,23,0.940677966101695,0.8947368421052632,0.9522821576763485,0.9338235294117647,0.9226130653266331
10,8,460,751,65,22,0.9329738058551618,0.8761904761904762,0.9543568464730291,0.9203431372549019,0.913604766633565
10,9,389,710,106,93,0.8466872110939908,0.7858585858585858,0.8070539419087137,0.8700980392156863,0.7963152507676562
11,0,456,761,55,26,0.9375963020030816,0.8923679060665362,0.946058091286307,0.9325980392156863,0.9184290030211479
11,1,319,694,122,163,0.7804314329738059,0.7233560090702947,0.6618257261410788,0.8504901960784313,0.6912242686890574
11,2,450,750,66,32,0.9244992295839753,0.872093023255814,0.9336099585062241,0.9191176470588235,0.9018036072144289
11,3,454,757,59,28,0.9329738058551618,0.884990253411306,0.941908713692946,0.9276960784313726,0.9125628140703517
11,4,439,755,61,43,0.9198767334360555,0.878,0.9107883817427386,0.9252450980392157,0.8940936863543788
11,5,461,749,67,21,0.9322033898305084,0.8731060606060606,0.9564315352697096,0.9178921568627451,0.9128712871287128
11,6,453,756,60,29,0.9314329738058552,0.8830409356725146,0.9398340248962656,0.9264705882352942,0.9105527638190954
11,7,349,699,117,133,0.8073959938366718,0.7489270386266095,0.7240663900414938,0.8566176470588235,0.7362869198312236
11,8,455,762,54,27,0.9375963020030816,0.8939096267190569,0.9439834024896265,0.9338235294117647,0.9182643794147326
11,9,450,769,47,32,0.9391371340523883,0.9054325955734407,0.9336099585062241,0.9424019607843137,0.9193054136874361
12,0,314,705,111,168,0.7850539291217258,0.7388235294117647,0.6514522821576764,0.8639705882352942,0.6923925027563397
12,1,453,743,73,29,0.9214175654853621,0.8612167300380228,0.9398340248962656,0.9105392156862745,0.8988095238095237
12,2,359,705,111,123,0.8197226502311248,0.7638297872340426,0.7448132780082988,0.8639705882352942,0.7542016806722689
12,3,446,753,63,36,0.923728813559322,0.8762278978388998,0.9253112033195021,0.9227941176470589,0.900100908173562
12,4,443,739,77,39,0.9106317411402157,0.8519230769230769,0.9190871369294605,0.9056372549019608,0.8842315369261476
12,5,452,759,57,30,0.9329738058551618,0.888015717092338,0.9377593360995851,0.9301470588235294,0.9122098890010091
12,6,423,721,95,59,0.8813559322033898,0.8166023166023166,0.8775933609958506,0.883578431372549,0.846
12,7,450,747,69,32,0.9221879815100154,0.8670520231213873,0.9336099585062241,0.9154411764705882,0.899100899100899
12,8,456,745,71,26,0.9252696456086287,0.8652751423149905,0.946058091286307,0.9129901960784313,0.9038652130822596
12,9,464,775,41,18,0.9545454545454546,0.9188118811881189,0.9626556016597511,0.9497549019607843,0.9402228976697062
13,0,451,747,69,31,0.9229583975346687,0.8673076923076923,0.9356846473029046,0.9154411764705882,0.9001996007984032
13,1,454,744,72,28,0.9229583975346687,0.8631178707224335,0.941908713692946,0.9117647058823529,0.9007936507936509
13,2,455,760,56,27,0.9360554699537751,0.8904109589041096,0.9439834024896265,0.9313725490196079,0.9164149043303121
13,3,379,724,92,103,0.849768875192604,0.8046709129511678,0.7863070539419087,0.8872549019607843,0.795383001049318
